,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,"T° 575,620",A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0:00:00,30,17,29,13,27,28,7,21,25,25,24,22,21,16,4,17,19,18,21,24,33,27,20,16,25,23,18,10,9,17,10,16,22,23,31,23,15
0:01:00,30,22,17,25,9,25,14,23,26,23,38,13,26,14,20,25,24,24,15,17,25,22,25,29,31,7,15,22,19,23,27,13,20,13,18,13,24
0:02:00,30,30,24,20,23,23,23,24,28,29,16,20,22,22,13,24,21,16,36,20,26,24,22,26,15,24,31,23,15,23,24,24,21,13,21,12,29
0:03:00,30,23,12,14,24,33,25,23,28,27,30,19,22,7,25,19,22,16,28,23,18,20,28,24,24,14,12,17,10,17,18,34,26,26,19,22,29
0:04:00,30,23,24,26,13,29,26,14,26,18,29,29,15,23,19,19,22,19,17,6,1,21,17,11,19,11,12,18,21,19,12,19,30,11,12,25,18
0:05:00,30,22,20,10,27,29,25,25,28,21,39,12,27,20,20,15,10,19,20,21,23,33,20,25,25,9,18,24,24,24,22,12,25,25,25,33,24
0:06:00,30,14,17,17,9,29,14,19,21,23,33,23,19,5,15,7,17,17,5,24,25,23,26,20,14,20,11,17,12,18,21,13,16,10,19,9,36
0:07:00,30,28,26,25,9,22,12,15,10,25,31,22,28,19,27,17,28,20,19,17,22,26,25,16,21,20,23,9,20,14,17,33,21,22,26,15,18
0:08:00,30,23,17,23,20,31,35,14,24,24,20,21,26,19,23,19,30,6,12,32,10,20,28,17,15,15,17,8,18,29,16,23,18,22,22,12,28
0:09:00,30,23,25,22,23,23,25,22,13,24,32,16,20,18,18,28,27,16,19,18,33,17,23,17,34,25,30,20,11,30,20,12,23,23,28,11,23
