Time,T,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
8:01:09,37,,,,,,,,,,,,,,,,,,,,,,,,,23,14480,223,535,40,44,365,399,137,140,61,87,1721,1264,164,215,77,93,523,536,315,391,12,23,22,20805,259,553,45,45,449,401,141,143,54,68,1091,1292,126,261,64,81,526,535,330,357,16,23,18,16787,261,595,46,46,358,442,84,111,57,81,1129,881,139,262,78,77,540,561,391,336,8,13
8:11:09,37,,,,,,,,,,,,,,,,,,,,,,,,,22,14503,223,534,40,45,364,404,141,144,60,76,1719,1279,163,212,81,86,518,534,305,387,13,22,18,20646,260,557,46,51,444,408,142,140,55,69,1078,1295,121,259,61,81,532,524,345,353,14,25,22,16759,264,596,42,49,372,433,85,114,51,76,1121,885,143,252,71,78,535,562,396,333,13,11
8:21:09,37,,,,,,,,,,,,,,,,,,,,,,,,,23,14588,227,529,43,35,365,393,137,140,52,79,1723,1262,160,217,81,96,520,536,308,370,4,23,19,20676,257,554,43,46,449,405,139,141,55,73,1076,1290,125,259,60,89,531,530,347,347,12,22,23,16804,253,594,43,50,368,442,82,110,56,80,1110,886,142,256,70,75,540,568,405,325,15,11
8:31:09,37,,,,,,,,,,,,,,,,,,,,,,,,,30,14489,225,529,42,46,367,398,131,142,61,86,1729,1277,168,222,85,90,531,536,319,379,11,20,23,20727,262,555,45,49,444,403,139,143,51,76,1061,1278,120,265,65,77,530,527,338,354,14,23,20,16710,264,592,43,42,365,428,84,115,50,74,1112,883,137,258,72,75,537,567,400,338,12,9
8:41:09,37,,,,,,,,,,,,,,,,,,,,,,,,,24,14460,226,533,43,44,367,397,138,141,59,79,1720,1273,160,220,82,88,520,530,314,380,8,18,20,20770,261,551,40,47,447,409,142,144,53,70,1069,1276,123,257,66,85,526,527,337,342,13,23,18,16757,259,597,41,47,370,444,84,105,58,81,1125,880,134,267,75,80,544,562,401,331,15,11
8:51:09,37,,,,,,,,,,,,,,,,,,,,,,,,,24,14470,226,529,45,42,364,402,138,141,58,69,1721,1266,160,217,84,92,518,530,311,389,13,19,20,20773,255,555,42,50,442,402,138,142,49,72,1071,1277,117,257,65,82,529,527,347,345,11,25,15,16756,259,597,40,40,368,429,88,109,49,77,1116,877,140,255,74,78,537,557,386,334,12,7
9:01:09,37,,,,,,,,,,,,,,,,,,,,,,,,,20,14411,224,530,37,47,367,406,135,144,64,87,1716,1284,168,221,79,93,510,530,306,384,13,24,11,20720,258,557,44,47,446,403,139,144,58,70,1075,1287,119,258,63,83,529,527,344,349,13,21,20,16816,260,600,46,49,367,444,89,109,54,73,1114,885,144,262,78,77,537,564,394,331,14,10
9:11:09,37,,,,,,,,,,,,,,,,,,,,,,,,,24,14463,225,529,44,43,367,394,145,139,60,82,1732,1256,164,222,81,82,520,527,307,378,13,32,13,20678,260,553,47,50,443,406,137,140,58,67,1067,1279,124,262,64,79,534,528,344,345,13,21,20,16679,256,602,45,47,362,447,82,110,49,77,1120,885,141,263,82,82,547,561,395,333,9,14
9:21:09,37,,,,,,,,,,,,,,,,,,,,,,,,,24,14418,219,535,42,45,356,401,128,140,55,80,1741,1258,161,224,81,92,514,540,310,385,13,21,15,20710,269,552,42,51,436,410,141,144,56,69,1072,1282,115,261,69,80,530,535,347,344,13,22,21,16741,262,598,44,48,364,439,89,112,53,78,1123,877,140,256,72,72,544,568,404,331,14,9
9:31:09,37,,,,,,,,,,,,,,,,,,,,,,,,,24,14467,223,524,40,45,362,404,140,140,65,81,1718,1269,163,222,85,91,518,532,308,385,9,22,15,20811,254,558,51,48,447,403,140,140,52,73,1069,1272,119,263,64,81,517,526,334,353,10,20,21,16724,260,597,37,53,360,436,85,109,55,79,1124,887,142,266,74,85,539,559,400,337,11,15
