Time,T,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
0:01:09,37,250,176,28,15,260,500,233,234,15,41,193,328,43,39,26,32,368,298,199,188,44,54,94,101,170,159,29,21,183,406,168,223,16,28,139,320,44,38,21,30,323,282,132,152,40,42,128,105,134,174,18,23,162,407,270,230,13,30,175,211,44,36,29,31,289,349,130,102,34,47,75,73,,,,,,,,,,,,,,,,,,,,,,,,
0:11:09,37,281,194,29,18,290,572,258,274,22,36,223,373,41,39,44,27,410,338,213,216,49,63,104,108,200,182,26,11,201,473,202,260,20,33,152,357,53,42,31,27,381,319,155,170,40,43,135,112,154,195,25,16,190,467,315,261,23,32,189,237,48,37,22,32,330,409,147,119,39,51,74,80,,,,,,,,,,,,,,,,,,,,,,,,
0:21:09,37,349,262,27,11,376,750,335,346,28,38,285,468,50,47,33,31,516,426,270,255,52,70,118,138,247,240,25,13,274,612,249,333,20,39,208,450,57,51,33,35,484,406,188,207,52,56,163,129,189,258,27,26,250,607,412,342,20,31,246,293,60,48,39,30,424,514,176,143,49,73,97,100,,,,,,,,,,,,,,,,,,,,,,,,
0:31:09,37,448,367,37,19,510,1036,441,492,24,51,395,637,62,57,45,38,667,559,321,318,71,86,149,160,314,327,36,19,357,839,323,464,23,47,282,604,66,56,37,30,629,537,230,251,62,69,199,156,247,357,27,23,329,837,533,463,25,49,335,387,66,57,40,39,550,688,217,174,54,87,125,119,,,,,,,,,,,,,,,,,,,,,,,,
0:41:09,37,567,482,34,28,683,1387,580,670,30,56,551,846,80,65,43,45,882,730,405,393,82,107,172,200,391,437,33,16,482,1123,436,624,26,52,387,803,82,65,45,41,822,708,278,302,80,81,237,181,298,469,33,22,427,1111,701,636,28,50,479,516,77,63,43,36,701,893,261,207,67,107,138,136,,,,,,,,,,,,,,,,,,,,,,,,
0:51:09,37,690,633,37,25,889,1793,736,871,35,63,724,1083,86,75,48,42,1118,936,472,458,96,126,206,229,467,558,35,24,631,1447,555,824,33,56,513,1023,91,74,51,50,1036,906,318,354,96,93,289,216,363,617,38,25,556,1423,892,833,27,58,620,663,87,78,49,43,895,1135,299,245,84,124,163,161,,,,,,,,,,,,,,,,,,,,,,,,
1:01:09,36.9,819,774,43,25,1102,2199,919,1095,40,77,909,1329,95,86,58,53,1379,1152,541,538,108,144,233,258,562,693,44,24,788,1774,691,1040,34,64,648,1262,102,86,59,50,1259,1117,373,404,105,111,325,255,436,749,35,22,679,1769,1110,1059,35,56,785,789,102,92,50,47,1083,1399,349,282,95,138,188,177,,,,,,,,,,,,,,,,,,,,,,,,
1:11:09,37,952,918,50,31,1360,2602,1080,1313,50,80,1086,1564,103,94,67,44,1625,1376,616,609,136,163,266,295,654,817,49,28,955,2094,808,1247,37,70,771,1498,121,103,54,54,1487,1316,426,467,125,119,365,280,505,897,40,27,813,2082,1319,1278,34,80,930,954,115,101,62,52,1287,1660,397,313,110,162,201,207,,,,,,,,,,,,,,,,,,,,,,,,
1:21:09,37,1101,1083,54,33,1598,2979,1245,1552,48,87,1287,1780,118,109,65,56,1842,1592,675,670,148,181,288,317,740,951,46,30,1111,2413,940,1468,43,79,907,1712,135,111,66,55,1715,1545,474,501,132,135,402,302,579,1037,41,26,960,2407,1535,1498,37,83,1104,1094,123,114,60,58,1507,1959,439,352,119,185,229,221,,,,,,,,,,,,,,,,,,,,,,,,
1:31:09,37,1216,1210,46,33,1839,3293,1362,1746,53,102,1470,1983,121,122,77,61,2057,1805,737,732,155,201,305,332,839,1080,58,34,1309,2671,1061,1671,43,85,1036,1916,144,121,70,67,1926,1746,514,558,150,152,435,324,646,1173,44,30,1119,2681,1730,1688,37,84,1266,1227,141,121,67,61,1705,2198,483,390,132,200,241,240,,,,,,,,,,,,,,,,,,,,,,,,
1:41:09,37,1339,1353,52,45,2086,3515,1463,1944,51,100,1636,2135,133,124,65,64,2173,1988,773,771,169,215,306,358,928,1208,50,29,1478,2884,1152,1850,52,93,1159,2089,157,120,74,70,2109,1925,572,604,166,161,455,337,720,1308,49,38,1278,2920,1894,1916,46,93,1413,1351,148,124,65,62,1870,2436,529,427,148,211,258,255,,,,,,,,,,,,,,,,,,,,,,,,
1:51:09,37,1432,1486,60,38,2329,3654,1520,2141,65,100,1793,2259,141,130,76,64,2276,2141,800,826,173,214,310,365,996,1317,57,35,1649,2987,1230,2052,53,89,1288,2253,167,131,72,62,2243,2080,596,652,181,166,477,356,783,1436,45,31,1415,3087,2030,2099,52,97,1565,1460,159,135,63,68,2025,2661,572,451,159,219,267,264,,,,,,,,,,,,,,,,,,,,,,,,
2:01:09,37,1543,1593,59,37,2527,3734,1552,2309,64,114,1943,2329,142,129,76,60,2306,2252,820,824,188,224,324,369,1086,1422,62,36,1796,3085,1269,2186,59,101,1400,2374,168,134,72,70,2304,2197,634,681,189,177,480,356,847,1575,52,35,1568,3210,2115,2288,52,104,1707,1545,165,140,68,64,2162,2826,598,474,168,230,282,275,,,,,,,,,,,,,,,,,,,,,,,,
2:11:09,37,1582,1715,62,40,2733,3791,1584,2447,67,115,2083,2384,145,137,79,63,2321,2327,832,841,195,228,319,375,1146,1545,64,33,1948,3136,1297,2362,65,99,1488,2459,172,137,74,68,2370,2264,646,726,195,186,488,366,881,1679,55,39,1718,3242,2188,2443,56,104,1823,1617,159,142,73,72,2231,2953,622,500,178,243,288,279,,,,,,,,,,,,,,,,,,,,,,,,
2:21:09,37,1643,1828,60,43,2913,3819,1587,2577,73,114,2206,2406,151,141,78,61,2346,2360,835,854,191,227,321,378,1199,1625,61,41,2088,3157,1326,2509,65,105,1585,2558,179,149,82,73,2394,2300,677,743,203,178,505,367,941,1785,56,42,1850,3321,2211,2579,55,110,1935,1684,170,149,70,67,2294,3023,631,523,177,233,291,274,,,,,,,,,,,,,,,,,,,,,,,,
2:31:09,37,1661,1938,52,45,3032,3857,1615,2736,72,116,2311,2426,146,142,78,68,2385,2380,844,860,197,226,320,376,1235,1733,64,41,2198,3167,1335,2621,70,109,1674,2570,178,151,74,69,2411,2319,688,758,208,185,502,375,971,1892,55,44,1962,3327,2243,2736,59,107,2024,1717,173,152,73,68,2326,3075,650,532,187,252,288,277,,,,,,,,,,,,,,,,,,,,,,,,
2:41:09,37,1693,2041,69,44,3142,3902,1613,2801,70,119,2391,2434,145,138,75,67,2375,2396,841,855,202,234,323,382,1268,1819,68,38,2316,3197,1351,2726,64,101,1743,2588,183,149,82,75,2441,2362,690,768,208,192,515,375,1001,1997,64,44,2080,3353,2257,2842,61,109,2114,1750,173,153,70,74,2338,3139,664,531,193,244,294,290,,,,,,,,,,,,,,,,,,,,,,,,
2:51:09,37,1697,2117,69,44,3198,3891,1624,2914,75,120,2474,2470,153,137,80,65,2396,2417,840,861,200,233,324,377,1293,1911,68,48,2370,3187,1353,2825,71,107,1801,2602,182,149,78,70,2429,2347,689,770,203,185,510,376,1033,2111,56,46,2166,3368,2277,2942,68,112,2214,1748,182,157,65,69,2355,3120,662,529,204,251,293,283,,,,,,,,,,,,,,,,,,,,,,,,
3:01:09,37,1715,2189,68,48,3244,3884,1627,2986,81,121,2553,2451,145,140,82,64,2386,2407,846,859,208,233,322,379,1294,1964,70,43,2406,3214,1353,2864,78,105,1877,2613,179,152,78,75,2442,2364,701,774,209,188,499,378,1048,2183,55,49,2246,3369,2292,3033,70,109,2284,1775,181,163,74,72,2393,3159,662,535,195,246,289,286,,,,,,,,,,,,,,,,,,,,,,,,
3:11:09,37,1701,2269,65,51,3272,3886,1643,3044,81,119,2582,2457,152,140,80,69,2403,2437,843,861,201,231,323,379,1296,2046,67,40,2466,3240,1353,2942,85,105,1917,2614,187,150,80,71,2439,2375,698,776,215,188,511,378,1043,2244,62,43,2293,3367,2293,3083,64,113,2341,1774,185,159,76,63,2373,3168,660,532,193,255,298,288,,,,,,,,,,,,,,,,,,,,,,,,
3:21:09,37,1710,2325,70,46,3299,3908,1626,3104,77,121,2609,2457,155,143,80,64,2396,2422,844,867,209,232,322,374,1312,2098,65,45,2468,3228,1363,3019,82,108,1936,2623,182,153,79,68,2436,2380,695,782,209,182,516,375,1051,2307,58,49,2338,3409,2293,3169,74,110,2393,1789,183,160,76,72,2366,3143,671,531,197,251,293,288,,,,,,,,,,,,,,,,,,,,,,,,
3:31:09,37,1716,2375,70,51,3299,3899,1651,3106,85,118,2656,2471,159,148,77,64,2388,2427,847,873,202,234,324,380,1314,2140,68,41,2494,3206,1361,3033,82,101,1975,2620,178,149,79,66,2468,2391,698,783,218,192,513,381,1059,2359,62,47,2369,3404,2308,3193,75,116,2429,1786,188,159,74,78,2375,3119,666,538,198,255,297,287,,,,,,,,,,,,,,,,,,,,,,,,
3:41:09,37,1700,2411,71,52,3309,3922,1646,3151,83,116,2653,2484,152,144,77,70,2392,2442,845,865,197,229,326,382,1303,2179,70,42,2489,3237,1361,3072,73,103,2011,2627,182,151,83,72,2460,2377,696,778,218,196,509,382,1054,2415,65,46,2361,3397,2304,3254,76,115,2458,1801,184,163,75,73,2382,3150,677,538,197,250,294,288,,,,,,,,,,,,,,,,,,,,,,,,
3:51:09,37,1720,2468,69,53,3314,3928,1647,3118,85,123,2680,2466,149,144,90,68,2396,2439,850,868,197,234,324,382,1309,2223,66,45,2498,3228,1365,3099,78,110,2017,2638,182,150,80,70,2443,2375,696,771,212,188,506,380,1038,2459,60,49,2373,3390,2298,3274,73,112,2504,1794,184,162,75,74,2396,3171,670,539,199,255,294,282,,,,,,,,,,,,,,,,,,,,,,,,
4:01:09,36.9,1715,2518,68,45,3307,3876,1634,3161,88,117,2697,2468,155,141,75,58,2397,2428,850,870,198,234,326,379,1312,2268,68,47,2506,3226,1372,3085,85,114,2037,2619,186,154,82,68,2456,2382,699,774,218,194,515,371,1059,2524,61,53,2398,3406,2300,3280,78,117,2506,1801,181,169,79,74,2384,3174,678,544,194,254,295,282,,,,,,,,,,,,,,,,,,,,,,,,
4:11:09,37,1713,2528,68,55,3311,3909,1639,3145,90,125,2706,2461,156,144,83,68,2408,2432,852,865,196,238,324,383,1320,2301,72,42,2517,3246,1371,3096,85,108,2039,2622,188,153,87,73,2440,2378,701,785,214,195,502,377,1069,2547,61,58,2383,3411,2310,3265,80,117,2541,1779,188,156,73,74,2387,3175,669,536,194,257,297,288,,,,,,,,,,,,,,,,,,,,,,,,
4:21:09,37,1712,2561,68,54,3315,3910,1654,3145,91,123,2702,2482,150,148,86,72,2397,2446,847,871,204,237,323,379,1326,2325,73,48,2512,3245,1377,3116,82,111,2059,2627,182,155,85,72,2468,2393,702,790,215,190,514,379,1058,2571,68,52,2386,3410,2300,3299,74,115,2550,1781,187,164,77,68,2379,3162,679,538,203,252,295,286,,,,,,,,,,,,,,,,,,,,,,,,
4:31:09,37,1704,2557,68,58,3301,3910,1648,3176,89,121,2695,2470,159,146,82,69,2398,2437,856,879,210,232,327,378,1304,2338,73,39,2498,3236,1372,3129,86,113,2046,2635,185,151,78,71,2444,2380,699,783,211,197,508,378,1065,2594,59,48,2406,3405,2311,3322,78,114,2566,1798,185,160,78,74,2385,3152,679,534,202,257,293,283,,,,,,,,,,,,,,,,,,,,,,,,
